tracer,recon,alpha_par,alpha_par_std,alpha_par_std_stat,alpha_perp,alpha_perp_std,alpha_perp_std_stat,r_off
elg2,Pre,0.953793589827991,0.04542037561089082,0.04534999444763645,1.0041668062917406,0.029166831421828517,0.02899370734650572,-0.4421841050488503
elg2,Post,0.9789694569121248,0.028657219151633117,0.02853955110972867,1.001067972870728,0.02527367653148665,0.025074923436158022,-0.4425280739711119
lrg1,Pre,0.9352771276511876,0.04741138581597647,0.04734655869362047,0.996658587405423,0.02286056885365915,0.0226425844117339,-0.42170099609713846
lrg1,Post,0.9232456641524359,0.026696404787661415,0.026584058608205764,1.0080994373461762,0.018007880578456426,0.01772387520777044,-0.4634003236372268
lrg2,Pre,0.9621009284608371,0.061334845250125974,0.061281832117044785,0.9439208314567245,0.023724231594900804,0.02353597522122313,-0.4484518346432131
lrg2,Post,0.9868670248827609,0.029251223862708647,0.029134083800522733,0.9504763303299767,0.017086453849843735,0.016820400163293663,-0.43714118768601246
lrg3,Pre,1.0166883735354644,0.037224167953520335,0.03712653816135589,1.0005743402999936,0.018081789332639105,0.017803202855414087,-0.4450200253214312
lrg3,Post,1.0044913118172991,0.020745013486420324,0.02057352333510833,1.0019808740409937,0.014968287892255941,0.01462957425257797,-0.4113119568120022
lrg3_elg1,Pre,1.0314863524681521,0.034118688071029905,0.03400901627258273,0.991614764991937,0.015676457545158794,0.015360093823326499,-0.4569400368500322
lrg3_elg1,Post,1.0133701429050692,0.020170426099122136,0.019990861662666778,0.9927050756364282,0.013226755567232561,0.012849382079923605,-0.41084333052146166
